_epochs=10, n_batch=128, 1/2=64, b/e=28, steps=280
>155, c[0.000,0], d[0.601,0.584], g[1.737]
>156, c[0.000,0], d[0.539,0.537], g[2.101]
>157, c[0.000,0], d[0.474,0.424], g[2.380]
>158, c[0.000,0], d[0.255,0.483], g[5.205]
>159, c[0.000,0], d[2.581,0.026], g[-0.337]
>160, c[0.000,0], d[0.091,2.152], g[0.590]
>161, c[0.000,0], d[0.379,1.132], g[1.181]
>162, c[0.000,0], d[0.617,0.764], g[1.525]
>163, c[0.000,0], d[0.792,0.594], g[1.592]
>164, c[0.000,0], d[0.827,0.564], g[1.500]
>165, c[0.000,0], d[0.775,0.605], g[1.377]
>166, c[0.000,0], d[0.708,0.663], g[1.295]
>167, c[0.000,0], d[0.665,0.704], g[1.270]
>168, c[0.000,0], d[0.651,0.716], g[1.287]
>169, c[0.000,0], d[0.656,0.708], g[1.318]
>170, c[0.000,0], d[0.669,0.692], g[1.345]
>171, c[0.000,0], d[0.683,0.680], g[1.356]
>172, c[0.000,0], d[0.687,0.674], g[1.356]
>173, c[0.000,0], d[0.686,0.675], g[1.351]
>174, c[0.000,0], d[0.680,0.677], g[1.348]
>175, c[0.000,0], d[0.677,0.679], g[1.348]
>176, c[0.000,0], d[0.675,0.679], g[1.352]
>177, c[0.000,0], d[0.671,0.677], g[1.360]
>178, c[0.000,0], d[0.675,0.674], g[1.366]
>179, c[0.000,0], d[0.676,0.671], g[1.371]
>180, c[0.000,0], d[0.669,0.669], g[1.379]
>181, c[0.000,0], d[0.670,0.666], g[1.387]
>182, c[0.000,0], d[0.667,0.663], g[1.397]
>183, c[0.000,0], d[0.668,0.659], g[1.406]
>184, c[0.000,0], d[0.651,0.655], g[1.429]
>185, c[0.000,0], d[0.646,0.646], g[1.458]
>186, c[0.000,0], d[0.630,0.635], g[1.499]
>187, c[0.000,0], d[0.627,0.621], g[1.539]
>188, c[0.000,0], d[0.597,0.612], g[1.612]
>189, c[0.000,0], d[0.591,0.596], g[1.674]
>190, c[0.000,0], d[0.537,0.600], g[1.905]
>191, c[0.000,0], d[0.547,0.553], g[1.968]
>192, c[0.000,0], d[0.455,0.740], g[3.181]
>193, c[0.000,0], d[1.471,0.185], g[1.257]
>194, c[0.000,0], d[0.247,1.068], g[3.035]
>195, c[0.000,0], d[1.515,0.207], g[1.909]
>196, c[0.000,0], d[0.818,0.472], g[1.171]
